"Title","Brand","Price","Link"
"Boneless Beef Ribeye Steak","MEAT","$17.99/lb","/product/meat-boneless-beef-ribeye-steak-b07qzcksy2"
"Boneless Beef New York Strip Steak","MEAT","$17.99/lb","/product/meat-boneless-beef-new-york-strip-steak-b079vxcby1"
"Beef Tenderloin Steak (Filet Mignon)","MEAT","$31.99/lb","/product/meat-beef-tenderloin-steak-filet-mignon-b07811nqgn"
"Ground Beef 80% Lean/ 20% Fat","MEAT","$5.99/lb","/product/meat-ground-beef-80-lean-20-fat-b07yfsxpsy"
"Boneless Beef Chuck Roast","MEAT","$7.99/lb","/product/meat-boneless-beef-chuck-roast-b07815gm3n"
"Bone In Beef Ribeye Steak","MEAT","$16.99/lb","/product/meat-bone-in-beef-ribeye-steak-b07815wps3"
"Beef Top Sirloin Steak","MEAT","$11.99/lb","/product/meat-beef-top-sirloin-steak-b0787w946z"
"Organic Beef Tenderloin Steak (Filet Mignon)","MEAT","$34.99/lb","/product/meat-organic-beef-tenderloin-steak-filet-mignon-b0787w83zx"
"Organic Boneless Beef Ribeye Steak","MEAT","$21.99/lb","/product/meat-organic-boneless-beef-ribeye-steak-b079mdc134"
"Beef Chuck Stew","MEAT","$6.99/lb","/product/meat-beef-chuck-stew-b0787wxkn9"
"Boneless Beef Ribeye Steak","MEAT","$24.99/lb","/product/meat-boneless-beef-ribeye-steak-b07jb73ptn"
"Ground Beef Gap 4 80% Lean 20% Fat","Niman Ranch","$5.99","/product/niman-ranch-ground-beef-gap-4-80-lean-20-fat-b07dkg5wj7"
"Ground Beef 90% Lean/10% Fat","Niman Ranch","$7.99","/product/niman-ranch-ground-beef-90-lean10-fat-b07vpx4klg"
"Organic Boneless Beef New York Strip Steak","MEAT","$21.99/lb","/product/meat-organic-boneless-beef-new-york-strip-steak-b0787y52g1"
"Herb Crusted Roast Beef","Whole Foods Market","$18.99/lb","/product/whole-foods-market-herb-crusted-roast-beef-b07tss8gfy"
"Mini Beef Meatballs For Kids","Earth's Best","$12.99","/product/earths-best-mini-beef-meatballs-for-kids-b078k5vt3r"
"Organic Boneless Beef Ribeye Steak","MEAT","$21.99/lb","/product/meat-organic-boneless-beef-ribeye-steak-b07881l2yl"
"Beef Round Stew","MEAT","$7.99/lb","/product/meat-beef-round-stew-b07pk4t3qt"
"Prime Beef Boneless Ribeye Steak","MEAT","$20.99/lb","/product/meat-prime-beef-boneless-ribeye-steak-b07dkw6sx3"
"Meatballs & Sauce","RAOS","$15.49","/product/raos-meatballs-sauce-b08p4v7x7s"
"Roast Beef","Applegate","$7.99","/product/applegate-roast-beef-b07dztxf23"
"Beef Hanger Steak","MEAT","$11.99/lb","/product/meat-beef-hanger-steak-b07813w2n6"
"Boneless Beef New York Strip Steak","MEAT","$24.99/lb","/product/meat-boneless-beef-new-york-strip-steak-b079m8lhqz"
"Beef Round Stir Fry","MEAT","$8.99/lb","/product/meat-beef-round-stir-fry-b0785xwn87"
"Prime Beef New York Strip Steak","MEAT","$20.99/lb","/product/meat-prime-beef-new-york-strip-steak-b07dkjywhg"
"Packaged Sliced Lunchmeat, Bologna - Beef Uncured","365 by Whole Foods Market","$5.49","/product/365-by-whole-foods-market-packaged-sliced-lunchmeat-bologna-beef-uncured-b089pn3q9t"
"Salt & Pepper Roast Beef","Whole Foods Market","$18.99/lb","/product/whole-foods-market-salt-pepper-roast-beef-b07fzls7jw"
"Italian Beef Meatballs","Whole Foods Market","$6.99/lb","/product/whole-foods-market-italian-beef-meatballs-b07skfkhl2"
"Uncured Pork & Beef Pepperoni","Applegate","$6.49","/product/applegate-uncured-pork-beef-pepperoni-b018ee8vja"
"Sliced Smoked Beef Salami","Brooklyn Cured","$8.49","/product/brooklyn-cured-sliced-smoked-beef-salami-b07j2z58ks"
"Organic Beef Sirloin Flap Steak","MEAT","$14.99/lb","/product/meat-organic-beef-sirloin-flap-steak-b07ds7zvkv"
"Sliced Roast Beef","365 by Whole Foods Market","$4.99","/product/365-by-whole-foods-market-sliced-roast-beef-b096c1bq4d"
"Organic Ground Beef 95% Lean/ 5% Fat","MEAT","$10.99/lb","/product/meat-organic-ground-beef-95-lean-5-fat-b07ds889xr"
"Beef Patties","PINELAND FARMS NATURAL MEATS","$6.99","/product/pineland-farms-natural-meats-beef-patties-b08g36dl3r"
"Organic Beef Flank Steak","MEAT","$15.99/lb","/product/meat-organic-beef-flank-steak-b0787spnwp"
"Beef Outside Skirt Steak","MEAT","$14.99/lb","/product/meat-beef-outside-skirt-steak-b07fjpvx88"
"Boneless Beef Chuck Steak","MEAT","$7.99/lb","/product/meat-boneless-beef-chuck-steak-b07pfq3s5q"
"Picanha Beef Top Sirloin Steak","MEAT","$11.99/lb","/product/meat-picanha-beef-top-sirloin-steak-b07fg1zlwx"
"Beef Bologna","Wellshire Farms","$8.99/lb","/product/wellshire-farms-beef-bologna-b07fzbdnxz"
"Organic Beef Stir Fry","MEAT","$12.99/lb","/product/meat-organic-beef-stir-fry-b079m3n9mx"
"Beef Round Stew","MEAT","$7.99/lb","/product/meat-beef-round-stew-b0787w8r5g"
"Beef Chuck Stew Meat","Adams Ranch","$6.99/lb","/product/adams-ranch-beef-chuck-stew-meat-b07g3bqr2w"
"Beef Bottom Round Steak","MEAT","$6.99/lb","/product/meat-beef-bottom-round-steak-b0788dxwp6"
"Organic Ground Beef 95% Lean/ 5% Fat","MEAT","$10.99/lb","/product/meat-organic-ground-beef-95-lean-5-fat-b0787y9sjd"
"Beef Chuck Shoulder Steak","MEAT","$6.49/lb","/product/meat-beef-chuck-shoulder-steak-b0787vy5dh"
"Beef Top Round Steak","Adams Ranch","$8.99/lb","/product/adams-ranch-beef-top-round-steak-b07ds66515"
